Date,Open,High,Low,Close,Adj_Close,Volume
21-09-2000,5,5.09375,4.9375,4.96875,4.96875,1654400
22-09-2000,4.90625,5.0625,4.84375,5.0625,5.0625,623600
25-09-2000,5.015625,5.140625,5.015625,5.109375,5.109375,689600
26-09-2000,5.0625,5.1875,5.046875,5.15625,5.15625,1197600
27-09-2000,5.109375,5.296875,5.109375,5.125,5.125,1644000
28-09-2000,5.109375,5.3125,5.109375,5.25,5.25,1603200
29-09-2000,5.25,5.53125,5.15625,5.453125,5.453125,1176400
2/10/2000,5.40625,5.4375,5.046875,5.046875,5.046875,811600
3/10/2000,5.078125,5.21875,4.984375,5.03125,5.03125,1052400
4/10/2000,4.96875,5.046875,4.90625,4.984375,4.984375,984000
5/10/2000,5,5.375,4.984375,5.140625,5.140625,1110800
6/10/2000,5.125,5.28125,5.0625,5.28125,5.28125,1090800
9/10/2000,5.25,5.28125,5.0625,5.171875,5.171875,608000
10/10/2000,5.140625,5.1875,5.09375,5.15625,5.15625,609600
11/10/2000,5.125,5.234375,5.109375,5.203125,5.203125,862400
12/10/2000,5.21875,5.453125,5.21875,5.265625,5.265625,1015600
13-10-2000,5.234375,5.609375,5.203125,5.59375,5.59375,1256400
16-10-2000,5.59375,5.703125,5.46875,5.515625,5.515625,1276000
17-10-2000,5.515625,5.6875,5.46875,5.6875,5.6875,807600
18-10-2000,5.5625,5.734375,5.5,5.734375,5.734375,741600
19-10-2000,5.71875,5.859375,5.671875,5.859375,5.859375,537200
20-10-2000,5.859375,5.859375,5.71875,5.8125,5.8125,471600
23-10-2000,5.8125,5.921875,5.78125,5.921875,5.921875,688400
24-10-2000,5.890625,6.125,5.796875,6.046875,6.046875,1127600
25-10-2000,6.03125,6.125,5.859375,5.96875,5.96875,1634000
26-10-2000,5.9375,6,5.75,5.828125,5.828125,519200
27-10-2000,5.828125,5.875,5.75,5.75,5.75,262000
30-10-2000,5.75,5.75,5.578125,5.734375,5.734375,991600
31-10-2000,3.8125,4,3.34375,3.359375,3.359375,17944400
1/11/2000,3.375,3.390625,3,3.25,3.25,19073200
2/11/2000,3.296875,3.5625,3.265625,3.546875,3.546875,3819600
3/11/2000,3.515625,3.796875,3.5,3.796875,3.796875,2175200
6/11/2000,3.828125,3.828125,3.6875,3.75,3.75,2453200
7/11/2000,3.75,3.921875,3.625,3.8125,3.8125,2404400
8/11/2000,3.84375,3.875,3.703125,3.859375,3.859375,1165200
9/11/2000,3.84375,3.84375,3.6875,3.796875,3.796875,772800
10/11/2000,3.796875,3.796875,3.609375,3.671875,3.671875,1893600
13-11-2000,3.625,3.671875,3.546875,3.578125,3.578125,899200
14-11-2000,3.59375,3.625,3.46875,3.484375,3.484375,777600
15-11-2000,3.515625,3.625,3.453125,3.546875,3.546875,546800
16-11-2000,3.53125,3.65625,3.53125,3.5625,3.5625,1607600
17-11-2000,3.609375,3.609375,3.390625,3.546875,3.546875,1190000
20-11-2000,3.578125,3.578125,3.390625,3.4375,3.4375,530800
21-11-2000,3.4375,3.78125,3.421875,3.734375,3.734375,1920800
22-11-2000,3.703125,3.90625,3.671875,3.90625,3.90625,1391600
24-11-2000,3.859375,4,3.8125,4,4,835600
27-11-2000,3.96875,4,3.921875,3.984375,3.984375,1556000
28-11-2000,3.984375,4.0625,3.9375,4.015625,4.015625,2024800
29-11-2000,4.015625,4.09375,3.96875,4.03125,4.03125,736400
30-11-2000,4.03125,4.0625,3.859375,4.015625,4.015625,1464800
1/12/2000,4,4.109375,4,4.109375,4.109375,637200
4/12/2000,4.078125,4.078125,3.96875,3.96875,3.96875,988800
5/12/2000,3.96875,4.125,3.96875,4.078125,4.078125,743600
6/12/2000,4.03125,4.109375,3.9375,3.96875,3.96875,1084400
7/12/2000,4,4.0625,3.96875,4.015625,4.015625,702000
8/12/2000,4.03125,4.21875,3.96875,4.21875,4.21875,1495200
11/12/2000,4.1875,4.21875,4.09375,4.140625,4.140625,997600
12/12/2000,4.140625,4.15625,4,4,4,690400
13-12-2000,3.96875,4.03125,3.9375,3.953125,3.953125,746800
14-12-2000,4,4,3.75,3.765625,3.765625,856000
15-12-2000,3.71875,3.953125,3.6875,3.953125,3.953125,1132000
18-12-2000,3.96875,3.96875,3.84375,3.9375,3.9375,784000
19-12-2000,3.890625,4.25,3.875,4.203125,4.203125,4110800
20-12-2000,4.15625,4.171875,4.109375,4.125,4.125,774400
21-12-2000,4.125,4.1875,4.09375,4.140625,4.140625,595200
22-12-2000,4.15625,4.203125,4.125,4.1875,4.1875,552400
26-12-2000,4.1875,4.1875,4.125,4.15625,4.15625,830000
27-12-2000,4.15625,4.21875,4.125,4.203125,4.203125,1311200
28-12-2000,4.1875,4.421875,4.1875,4.34375,4.34375,1839600
29-12-2000,4.359375,4.53125,4.328125,4.4375,4.4375,2984400
2/1/2001,4.4375,4.4375,4.328125,4.34375,4.34375,928000
3/1/2001,4.34375,4.671875,4.3125,4.578125,4.578125,1235600
4/1/2001,4.546875,4.609375,4.46875,4.5625,4.5625,486400
5/1/2001,4.5,4.5,4.1875,4.21875,4.21875,2196000
8/1/2001,4.25,4.265625,4.21875,4.25,4.25,599600
9/1/2001,4.28125,4.46875,4.28125,4.359375,4.359375,1112400
10/1/2001,4.4375,4.59375,4.4375,4.5,4.5,1228000
11/1/2001,4.453125,4.5,4.4375,4.453125,4.453125,288400
12/1/2001,4.40625,4.5,4.390625,4.484375,4.484375,788000
16-01-2001,4.484375,4.5,4.359375,4.5,4.5,2159200
17-01-2001,4.5,4.5625,4.4375,4.484375,4.484375,1713200
18-01-2001,4.453125,4.59375,4.453125,4.5625,4.5625,668400
19-01-2001,4.5625,4.5625,4.34375,4.390625,4.390625,1036400
22-01-2001,4.390625,4.46875,4.34375,4.46875,4.46875,612400
